hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask
DOH000000000000221,490,BARILI DISTRICT HOSPITAL,2020-04-17 16:30:07,2020-04-17 16:30:07,2020-04-17,61,1500,150,22,5,15,115,400,15
DOH000000000000221,1368,BARILI DISTRICT HOSPITAL,2020-04-24 13:21:45,2020-04-24 13:21:45,2020-04-24,53,850,172,21,15,4,228,613,0
DOH000000000000232,259,SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-17 13:29:31,2020-04-17 13:29:31,2020-04-17,132,1000,800,52,30,385,100,500,50
DOH000000000000236,1105,Ospital ng Palawan,2020-04-24 10:28:24,2020-04-24 10:28:24,2020-04-24,80,11000,12000,120,200,600,100,5500,10
DOH000000000000254,1077,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,2020-04-24 10:14:29,2020-04-24 10:14:29,2020-04-24,18,88,37,18,0,18,45,3904,0
DOH000000000000265,70,URDANETA DISTRICT HOSPITAL,2020-04-17 9:30:05,2020-04-17 9:30:05,2020-04-17,56,2000,300,249,25,0,150,500,5
DOH000000000000265,1185,URDANETA DISTRICT HOSPITAL,2020-04-24 11:09:58,2020-04-24 11:09:58,2020-04-24,5,1000,200,240,25,25,245,500,0
DOH000000000000268,1900,DAVAO REGIONAL MEDICAL CENTER,2020-04-25 7:22:39,2020-04-25 7:22:39,2020-04-25,83,5358,1797,85,118,1337,59,3946,1433
DOH000000000000268,597,DAVAO REGIONAL MEDICAL CENTER,2020-04-17 22:14:04,2020-04-17 22:14:04,2020-04-17,79,2590,630,173,205,368,85,193,599
DOH000000000000269,587,TARLAC PROVINCIAL HOSPITAL,2020-04-17 20:45:33,2020-04-17 20:45:33,2020-04-17,150,2000,1000,150,150,1000,100,2000,200
DOH000000000000269,1867,TARLAC PROVINCIAL HOSPITAL,2020-04-24 20:57:47,2020-04-24 20:57:47,2020-04-24,300,1000,500,300,300,500,300,1000,500
DOH000000000000271,1215,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-24 11:29:27,2020-04-24 11:29:27,2020-04-24,333,406300,20921,1690,2768,102,585,35800,195
DOH000000000000271,509,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 16:42:01,2020-04-17 16:42:01,2020-04-17,198,447700,13629,653,1920,367,340,37600,100
DOH000000000000272,478,JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-17 16:19:56,2020-04-17 16:19:56,2020-04-17,22,33,1400,820,1590,1740,703,125,746
DOH000000000000272,1429,JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-24 15:57:07,2020-04-24 13:59:49,2020-04-24,638,21000,700,478,145,1602,545,176,538
DOH000000000000273,488,REGION I MEDICAL CENTER,2020-04-17 16:27:55,2020-04-17 16:27:55,2020-04-17,250,7500,500,80,350,500,100,1000,2200
DOH000000000000275,1828,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-24 17:51:32,2020-04-24 17:51:32,2020-04-24,1750,15200,778800,1278,3200,730,2082,26900,3100
DOH000000000000277,1284,Bicol Sanitarium,2020-04-24 12:18:11,2020-04-24 12:18:11,2020-04-24,50,50000,2087,156,48,181,100,15700,1570
DOH000000000000277,343,Bicol Sanitarium,2020-04-17 14:57:14,2020-04-17 14:57:14,2020-04-17,50,50000,2127,170,52,183,100,15500,1720
DOH000000000000278,614,BICOL MEDICAL CENTER,2020-04-18 8:28:29,2020-04-18 8:28:29,2020-04-18,140,3480,500,87,100,509,80,4550,600
DOH000000000000278,248,BICOL MEDICAL CENTER,2020-04-17 13:15:03,2020-04-17 13:15:03,2020-04-17,140,3480,500,87,100,500,80,4550,600
DOH000000000000278,1827,BICOL MEDICAL CENTER,2020-04-24 18:38:27,2020-04-24 17:50:54,2020-04-24,1200,4340,1360,1082,1186,1360,100,5410,1575
DOH000000000000280,145,ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-17 11:12:15,2020-04-17 11:12:15,2020-04-17,21,2800,26,21,26,21,23,3540,44
DOH000000000000280,1488,ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-24 14:33:04,2020-04-24 14:33:04,2020-04-24,41,3500,31,31,46,31,43,3455,44
DOH000000000000292,855,JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-04-24 8:41:11,2020-04-24 8:41:11,2020-04-24,4,770,134,91,101,100,84,1500,9
DOH000000000000343,952,PIRA HOSPITAL,2020-04-24 9:15:49,2020-04-24 9:15:49,2020-04-24,25,550,280,23,15,0,60,250,20
DOH000000000000359,1411,RESONABLE HOSPITAL,2020-04-24 13:42:01,2020-04-24 13:42:01,2020-04-24,75,1200,1000,18,50,0,30,1800,40
DOH000000000000385,1743,OUR LADY MEDIATRIX HOSPITAL,2020-04-24 16:34:32,2020-04-24 16:34:32,2020-04-24,35,3300,485,51,28,100,35,400,86
DOH000000000000385,598,OUR LADY MEDIATRIX HOSPITAL,2020-04-18 5:54:26,2020-04-18 5:54:26,2020-04-18,35,4400,500,51,28,100,35,490,93
DOH000000000000393,409,RAMOS GENERAL HOSPITAL,2020-04-17 15:39:53,2020-04-17 15:39:53,2020-04-17,57,4000,100,19,20,100,50,2000,54
DOH000000000000397,1240,"TOBIAS FELICIANO FAITH HOSPITAL, INC.",2020-04-24 11:43:28,2020-04-24 11:43:28,2020-04-24,4,300,200,150,60,50,100,300,20
DOH000000000000400,1160,"LORMA MEDICAL CENTER, INC.",2020-04-24 10:54:12,2020-04-24 10:54:12,2020-04-24,189,92800,7635,370,1211,3808,169,226533,2256
DOH000000000000410,1621,ASIAN HOSPITAL INC.,2020-04-24 15:36:39,2020-04-24 15:36:39,2020-04-24,2260,2955,22350,5819,1293,6300,1075,3242,9000
DOH000000000000414,1276,"ADVENTIST MEDICAL CENTER-BACOLOD, INC.",2020-04-24 12:06:12,2020-04-24 12:06:12,2020-04-24,90,46657,7904,38,148,228,2436,31612,283
DOH000000000000417,1330,BAGAC COMMUNITY AND MEDICARE HOSPITAL,2020-04-24 12:51:12,2020-04-24 12:51:12,2020-04-24,2,2100,69,23,14,198,8,450,0
DOH000000000000419,752,BAILAN DISTRICT HOSPITAL,2020-04-24 7:45:21,2020-04-24 7:45:21,2020-04-24,50,400,20,23,30,20,200,1000,46
DOH000000000000426,1222,Basilan General Hospital,2020-04-24 11:32:50,2020-04-24 11:32:50,2020-04-24,50,1198,308,46,247,308,64,2335,498
DOH000000000000426,588,Basilan General Hospital,2020-04-17 21:08:43,2020-04-17 21:08:43,2020-04-17,17,700,7,24,131,5,93,1000,500
DOH000000000000427,1088,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-24 10:19:16,2020-04-24 10:19:16,2020-04-24,170,1000,500,200,259,500,170,200,581
DOH000000000000432,1096,BAGO CITY HOSPITAL,2020-04-24 10:21:15,2020-04-24 10:21:15,2020-04-24,0,432,658,399,382,457,30,6485,122
DOH000000000000436,386,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,2020-04-17 15:28:11,2020-04-17 15:28:11,2020-04-17,70,5600,367,22,0,50,84,2559,59
DOH000000000000436,857,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,2020-04-24 8:41:25,2020-04-24 8:41:25,2020-04-24,54,4600,365,22,0,50,84,1922,0
DOH000000000000440,1453,CALUMPIT DISTRICT HOSPITAL,2020-04-24 14:15:32,2020-04-24 14:15:32,2020-04-24,70,1000,91,209,211,27,289,2700,75
DOH000000000000440,556,CALUMPIT DISTRICT HOSPITAL,2020-04-17 18:15:34,2020-04-17 18:15:34,2020-04-17,0,20,100,226,212,10,250,50,85
DOH000000000000464,898,CEBU PROVINCIAL HOSPITAL (DANAO CITY),2020-04-24 8:55:49,2020-04-24 8:55:49,2020-04-24,0,15800,300,41,114,0,672,874,281
DOH000000000000469,2001,DE OCAMPO MEMORIAL MEDICAL CENTER,2020-04-26 8:51:17,2020-04-26 8:51:17,2020-04-26,36,3500,400,55,23,20,230,550,87
DOH000000000000473,1014,SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL,2020-04-24 9:41:57,2020-04-24 9:41:57,2020-04-24,199,0,90,18,9,98,91,43,17
DOH000000000000481,2034,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-26 14:25:15,2020-04-26 14:25:15,2020-04-26,1332,6300,3298,87,339,0,218,11750,686
DOH000000000000481,561,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-17 18:29:50,2020-04-17 18:29:50,2020-04-17,1379,6800,3498,87,374,90,218,12750,885
DOH000000000000487,1751,"DON VALERIO PALMARES, SR. MEMORIAL DISTRICT HOSPITAL",2020-04-24 16:39:42,2020-04-24 16:39:42,2020-04-24,129,5100,407,29,88,24,349,395,17
DOH000000000000496,1588,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,2020-04-24 15:20:30,2020-04-24 15:20:30,2020-04-24,600,1200,600,600,600,600,600,600,600
DOH000000000000497,376,Dr. Jose Rizal Memorial Hospital  (DOH retained),2020-04-17 15:16:51,2020-04-17 15:16:51,2020-04-17,0,67000,35,28,64,1000,77,39250,509
