hfhudcode,id,cfname,updateddate,addeddate,reportdate,icu_v,icu_o,isolbed_v,isolbed_o,beds_ward_v,beds_ward_o,mechvent_v,mechvent_o
DOH000000000000268,9439,DAVAO REGIONAL MEDICAL CENTER,2020-04-24 14:15:28,2020-04-24 14:15:28,2020-04-24,0,2,30,10,0,0,1,1
DOH000000000000271,14632,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-28 8:16:13,2020-04-28 8:16:13,2020-04-28,9,11,86,51,0,0,28,0
DOH000000000000271,9100,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-24 10:10:37,2020-04-24 10:10:37,2020-04-24,7,13,52,47,0,0,28,0
DOH000000000000271,9833,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-25 7:33:57,2020-04-25 7:33:57,2020-04-25,5,15,50,49,0,0,28,0
DOH000000000000271,3724,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-20 8:29:23,2020-04-20 8:29:23,2020-04-20,4,16,39,55,0,0,28,0
DOH000000000000271,4688,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-21 8:19:43,2020-04-21 8:19:43,2020-04-21,6,14,41,53,0,0,28,0
DOH000000000000271,6982,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-23 8:03:50,2020-04-23 8:03:50,2020-04-23,7,13,51,43,0,0,28,0
DOH000000000000271,1461,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 14:49:13,2020-04-17 14:49:13,2020-04-17,7,13,43,51,0,0,28,0
DOH000000000000271,1803,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-18 15:29:53,2020-04-18 8:05:37,2020-04-18,6,14,39,55,0,0,28,0
DOH000000000000271,13239,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-27 8:44:11,2020-04-27 8:44:11,2020-04-27,9,11,86,51,0,0,28,0
DOH000000000000271,678,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-16 17:12:04,2020-04-16 17:12:04,2020-04-16,7,13,45,49,0,0,28,0
DOH000000000000271,16140,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-29 8:04:16,2020-04-29 8:04:16,2020-04-29,9,11,95,42,0,0,28,0
DOH000000000000271,5679,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-22 7:50:07,2020-04-22 7:50:07,2020-04-22,8,12,47,47,0,0,28,0
DOH000000000000271,11800,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-26 9:04:14,2020-04-26 9:04:14,2020-04-26,5,15,87,50,0,0,28,0
DOH000000000000271,3021,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-19 10:47:21,2020-04-19 10:47:21,2020-04-19,3,17,37,57,0,0,28,0
DOH000000000000273,11045,REGION I MEDICAL CENTER,2020-04-25 16:56:09,2020-04-25 16:56:09,2020-04-25,5,3,68,15,5,5,14,0
DOH000000000000273,2218,REGION I MEDICAL CENTER,2020-04-18 11:45:04,2020-04-18 11:45:04,2020-04-18,2,2,38,27,7,1,4,0
DOH000000000000273,4309,REGION I MEDICAL CENTER,2020-04-20 16:41:32,2020-04-20 16:41:32,2020-04-20,6,2,65,16,9,1,4,0
DOH000000000000273,12427,REGION I MEDICAL CENTER,2020-04-26 15:35:25,2020-04-26 15:35:25,2020-04-26,4,4,64,19,5,5,14,0
DOH000000000000273,16992,REGION I MEDICAL CENTER,2020-04-29 11:44:08,2020-04-29 11:44:08,2020-04-29,6,2,60,23,5,5,10,0
DOH000000000000273,3142,REGION I MEDICAL CENTER,2020-04-19 13:13:40,2020-04-19 13:13:40,2020-04-19,2,2,31,27,14,1,4,0
DOH000000000000273,5191,REGION I MEDICAL CENTER,2020-04-21 11:50:15,2020-04-21 11:50:15,2020-04-21,6,2,70,13,9,1,4,0
DOH000000000000273,6633,REGION I MEDICAL CENTER,2020-04-22 15:58:07,2020-04-22 15:58:07,2020-04-22,7,1,69,14,9,1,14,0
DOH000000000000273,8064,REGION I MEDICAL CENTER,2020-04-23 16:43:17,2020-04-23 16:43:17,2020-04-23,7,1,65,18,9,1,10,0
DOH000000000000273,621,REGION I MEDICAL CENTER,2020-04-16 15:41:38,2020-04-16 15:41:38,2020-04-16,1,3,41,37,6,2,4,0
DOH000000000000273,9607,REGION I MEDICAL CENTER,2020-04-24 16:55:48,2020-04-24 16:46:32,2020-04-24,1,5,0,15,7,5,1,4
DOH000000000000273,15415,REGION I MEDICAL CENTER,2020-04-28 12:59:52,2020-04-28 12:59:52,2020-04-28,5,3,64,19,5,5,10,0
DOH000000000000273,13967,REGION I MEDICAL CENTER,2020-04-27 14:39:34,2020-04-27 14:39:34,2020-04-27,4,4,65,18,5,5,10,0
DOH000000000000274,13995,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-27 15:06:30,2020-04-27 15:06:30,2020-04-27,8,7,43,0,0,15,15,0
DOH000000000000274,15242,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-28 10:45:37,2020-04-28 10:45:37,2020-04-28,15,15,51,0,0,0,15,15
DOH000000000000275,6762,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-23 6:36:44,2020-04-23 6:36:44,2020-04-23,50,34,120,68,57,19,10,31
DOH000000000000275,12548,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-26 19:34:33,2020-04-26 19:34:33,2020-04-26,10,20,29,17,13,46,6,35
DOH000000000000275,9573,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-24 16:17:36,2020-04-24 16:17:36,2020-04-24,30,25,31,31,9,35,5,36
DOH000000000000275,14137,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-27 18:53:33,2020-04-27 18:53:33,2020-04-27,0,30,300,31,8,45,35,6
DOH000000000000276,8621,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-24 8:25:26,2020-04-24 8:25:26,2020-04-24,1,5,0,15,7,5,1,4
DOH000000000000276,1511,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-17 16:13:25,2020-04-17 16:13:25,2020-04-17,0,6,4,9,5,9,0,5
DOH000000000000276,11999,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-26 10:23:17,2020-04-26 10:23:17,2020-04-26,0,6,0,13,8,4,0,5
DOH000000000000276,16088,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-29 7:57:53,2020-04-29 7:57:53,2020-04-29,0,5,0,15,10,2,0,5
DOH000000000000276,4677,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-21 17:48:39,2020-04-21 8:17:42,2020-04-21,0,3,1,12,6,9,0,5
DOH000000000000276,9862,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-25 7:41:01,2020-04-25 7:41:01,2020-04-25,0,6,0,13,8,4,0,5
DOH000000000000276,4210,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-20 14:33:38,2020-04-20 14:33:38,2020-04-20,0,5,7,10,0,6,0,5
DOH000000000000276,2343,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-18 15:45:04,2020-04-18 15:45:04,2020-04-18,0,6,4,9,5,9,0,5
DOH000000000000276,2778,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-19 8:30:02,2020-04-19 8:30:02,2020-04-19,0,6,4,9,5,9,0,5
DOH000000000000276,14384,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-28 7:43:59,2020-04-28 7:43:59,2020-04-28,0,6,0,15,9,3,0,5
DOH000000000000276,12673,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-27 7:16:47,2020-04-27 7:16:47,2020-04-27,0,6,0,13,9,3,0,5
DOH000000000000276,7203,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-23 8:42:21,2020-04-23 8:32:00,2020-04-23,1,5,0,14,6,6,2,3
DOH000000000000276,6208,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-22 9:48:09,2020-04-22 9:48:09,2020-04-22,0,5,0,14,6,6,1,4
DOH000000000000276,589,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-16 14:58:41,2020-04-16 14:58:41,2020-04-16,0,6,2,10,2,6,0,5
DOH000000000000278,7499,BICOL MEDICAL CENTER,2020-04-23 9:38:46,2020-04-23 9:38:46,2020-04-23,0,0,23,3,8,3,2,1
DOH000000000000278,8307,BICOL MEDICAL CENTER,2020-04-24 7:47:39,2020-04-24 7:39:12,2020-04-24,0,0,21,5,9,3,1,3
DOH000000000000278,10138,BICOL MEDICAL CENTER,2020-04-25 11:31:46,2020-04-25 8:22:49,2020-04-25,0,0,22,4,9,3,2,2
DOH000000000000410,13611,ASIAN HOSPITAL INC.,2020-04-27 10:25:02,2020-04-27 10:25:02,2020-04-27,6,10,34,38,0,0,37,9
DOH000000000000410,8129,ASIAN HOSPITAL INC.,2020-04-23 19:10:54,2020-04-23 19:10:54,2020-04-23,10,7,2,23,45,14,33,13
DOH000000000000410,9646,ASIAN HOSPITAL INC.,2020-04-24 17:51:08,2020-04-24 17:51:08,2020-04-24,9,8,29,41,0,0,38,8
DOH000000000000435,8941,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-24 9:22:48,2020-04-24 9:22:48,2020-04-24,1,4,2,3,5,0,1,2
DOH000000000000435,15017,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-28 9:16:30,2020-04-28 9:16:30,2020-04-28,4,1,2,3,5,0,3,2
DOH000000000000435,5088,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-21 10:34:45,2020-04-21 10:34:45,2020-04-21,1,4,3,2,5,0,2,1
DOH000000000000435,11505,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-26 8:12:29,2020-04-26 8:12:29,2020-04-26,4,1,2,3,5,0,3,0
DOH000000000000435,3125,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-19 12:47:18,2020-04-19 12:47:18,2020-04-19,5,0,6,4,6,0,3,0
DOH000000000000435,10513,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-25 10:04:25,2020-04-25 10:04:25,2020-04-25,4,1,2,3,5,0,3,0
DOH000000000000435,16868,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-29 10:45:45,2020-04-29 10:45:45,2020-04-29,4,1,1,4,5,0,3,0
DOH000000000000435,6775,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-23 6:44:26,2020-04-23 6:44:26,2020-04-23,1,4,3,2,5,0,2,1
DOH000000000000435,6266,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-22 10:15:54,2020-04-22 10:15:54,2020-04-22,1,4,3,2,5,0,2,1
DOH000000000000435,13513,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-04-27 9:46:30,2020-04-27 9:46:30,2020-04-27,4,1,2,3,5,0,3,0
DOH000000000000481,1564,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-17 18:27:42,2020-04-17 18:27:42,2020-04-17,0,0,1,0,4,1,1,0
DOH000000000000481,708,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-16 19:13:13,2020-04-16 19:13:13,2020-04-16,0,0,1,0,4,1,1,0
DOH000000000000499,16942,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-29 11:20:23,2020-04-29 11:20:23,2020-04-29,0,0,0,12,0,6,1,1
DOH000000000000499,13925,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-27 14:05:54,2020-04-27 14:05:54,2020-04-27,0,0,0,12,0,6,2,0
DOH000000000000499,12315,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-26 13:50:51,2020-04-26 13:50:51,2020-04-26,0,0,0,12,0,6,2,0
DOH000000000000499,6645,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-22 16:14:50,2020-04-22 16:14:50,2020-04-22,0,0,0,14,0,5,0,2
DOH000000000000499,9354,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-24 12:49:20,2020-04-24 12:49:20,2020-04-24,0,0,0,13,0,6,1,11
DOH000000000000499,11009,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-25 16:21:18,2020-04-25 16:21:18,2020-04-25,0,0,0,13,0,6,1,1
DOH000000000000499,15433,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-28 13:16:13,2020-04-28 13:16:13,2020-04-28,0,0,0,6,0,5,0,2
DOH000000000000502,14238,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-28 6:57:55,2020-04-28 6:57:55,2020-04-28,96,1,53,50,53,50,51,0
DOH000000000000502,11210,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-26 7:06:44,2020-04-26 7:06:44,2020-04-26,96,1,54,49,54,49,51,0
DOH000000000000502,5710,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-22 7:58:40,2020-04-22 7:58:40,2020-04-22,96,1,64,39,64,39,51,0
DOH000000000000502,4521,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-21 7:51:10,2020-04-21 7:51:10,2020-04-21,97,0,63,40,63,40,51,0
DOH000000000000502,4048,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-20 11:16:29,2020-04-20 11:16:29,2020-04-20,96,1,64,39,64,39,50,1
DOH000000000000502,8449,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-24 8:07:19,2020-04-24 8:07:19,2020-04-24,96,1,60,43,60,43,51,0
DOH000000000000502,9813,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-25 7:25:34,2020-04-25 7:25:34,2020-04-25,96,1,58,45,58,45,51,0
DOH000000000000502,16084,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-29 7:57:23,2020-04-29 7:57:23,2020-04-29,96,1,53,50,53,50,51,0
DOH000000000000502,7202,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-23 8:31:56,2020-04-23 8:31:56,2020-04-23,96,1,61,42,61,42,51,0
DOH000000000000502,12772,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-27 7:40:30,2020-04-27 7:40:30,2020-04-27,96,1,54,49,54,49,51,0
DOH000000000000513,1272,DR. RAFAEL S. TUMBOKON MEMORIAL HOSPITAL,2020-04-17 10:29:48,2020-04-17 10:29:48,2020-04-17,2,0,8,6,14,0,4,0
DOH000000000000513,3180,DR. RAFAEL S. TUMBOKON MEMORIAL HOSPITAL,2020-04-19 14:10:45,2020-04-19 14:10:45,2020-04-19,2,0,9,5,9,0,4,0
DOH000000000000513,586,DR. RAFAEL S. TUMBOKON MEMORIAL HOSPITAL,2020-04-16 14:51:27,2020-04-16 14:51:27,2020-04-16,2,0,9,5,9,0,4,0
DOH000000000000540,9674,EAST AVENUE MEDICAL CENTER,2020-04-24 22:43:45,2020-04-24 22:43:45,2020-04-24,3,4,9,57,7,13,20,6
DOH000000000000540,15770,EAST AVENUE MEDICAL CENTER,2020-04-28 21:09:51,2020-04-28 21:03:27,2020-04-28,1,6,5,39,10,10,5,6
DOH000000000000540,2586,EAST AVENUE MEDICAL CENTER,2020-04-19 7:49:22,2020-04-19 7:49:22,2020-04-19,0,7,13,51,5,15,17,7
DOH000000000000540,13821,EAST AVENUE MEDICAL CENTER,2020-04-27 12:58:27,2020-04-27 12:58:27,2020-04-27,1,6,3,61,9,11,28,5
DOH000000000000540,11117,EAST AVENUE MEDICAL CENTER,2020-04-25 20:45:42,2020-04-25 20:45:42,2020-04-25,4,3,2,62,10,10,22,8
DOH000000000000540,5454,EAST AVENUE MEDICAL CENTER,2020-04-21 17:59:01,2020-04-21 17:59:01,2020-04-21,2,1,4,60,5,15,15,8
DOH000000000000540,1576,EAST AVENUE MEDICAL CENTER,2020-04-17 20:49:44,2020-04-17 20:49:44,2020-04-17,0,7,15,49,7,13,18,6
DOH000000000000540,2430,EAST AVENUE MEDICAL CENTER,2020-04-18 20:51:18,2020-04-18 20:51:18,2020-04-18,0,7,13,51,5,15,18,6
DOH000000000000540,4347,EAST AVENUE MEDICAL CENTER,2020-04-20 20:50:50,2020-04-20 20:50:50,2020-04-20,1,6,4,60,5,15,15,8
DOH000000000000540,12184,EAST AVENUE MEDICAL CENTER,2020-04-26 11:58:53,2020-04-26 11:58:53,2020-04-26,1,4,2,64,10,10,22,8
DOH000000000000540,600,EAST AVENUE MEDICAL CENTER,2020-04-16 15:14:00,2020-04-16 15:14:00,2020-04-16,0,7,3,53,25,22,18,6
